Coordenadas_inicio,Coordenadas_fin
"[39.51699028301163, -0.4630721437324131]","[39.40060972114896, -0.40053121246402557]"
"[39.399460962918106, -0.40641561157875034]","[39.521115044356804, -0.39045128755765784]"
"[39.53104444351681, -0.35182588328801817]","[39.40455602856859, -0.4011873949178396]"
"[39.54324110974869, -0.3947814117729767]","[39.42317885056456, -0.4016938265574159]"
"[39.395897844997684, -0.39982226106287605]","[39.51913699440438, -0.4149545072729637]"
"[39.535282813006056, -0.40115335114849376]","[39.400824451271475, -0.3992380558771404]"
"[39.440743224304526, -0.4728540118691351]","[39.531636796014396, -0.35244726743595695]"
"[39.54283349143927, -0.39901037868045125]","[39.422970275093384, -0.38642678941402]"
"[39.526896381664855, -0.3438781734719812]","[39.406360958551204, -0.4070618833126017]"
"[39.47334350980615, -0.3267307178373018]","[39.52220991301255, -0.4683848349341491]"
"[39.43086777233025, -0.4307952835355317]","[39.55190649958408, -0.3979762473501503]"
"[39.53143258901457, -0.35471645745707586]","[39.40684048557018, -0.41112129542678116]"
"[39.52961695955305, -0.3465806118726396]","[39.4568977870116, -0.4726301514820888]"
"[39.50408074303734, -0.34373078317496364]","[39.42793921796137, -0.4719766063130607]"
"[39.40218418240248, -0.4033568155122907]","[39.52313607591217, -0.386929813000823]"
"[39.52199891363963, -0.35358539371807257]","[39.398264167566616, -0.3971240158088995]"
"[39.43493882109987, -0.4715714049487579]","[39.542272877980295, -0.39434672838779017]"
"[39.5517023772746, -0.39394431688251935]","[39.424012886802075, -0.3914450647810589]"
"[39.42017887387528, -0.39432336930209905]","[39.54236470414093, -0.40288883689884847]"
"[39.51894374801285, -0.4613515205988704]","[39.40140843734119, -0.405155049348559]"
"[39.396500443920964, -0.4006288298772595]","[39.52533698416368, -0.38144617717705737]"
"[39.44990097910292, -0.3327278341010168]","[39.52049894353239, -0.4614882767816685]"
"[39.40060972114896, -0.40053121246402557]","[39.527762801311106, -0.38157097487558844]"
"[39.4363075261176, -0.4692473703558487]","[39.543932573973606, -0.39072757055803686]"
"[39.54574467422274, -0.39461374413564443]","[39.4340235455306, -0.46516576182591896]"
"[39.43732045258265, -0.47261183344317464]","[39.528847820157125, -0.3489069076160588]"
"[39.521178730639036, -0.4691900204096147]","[39.44956886299207, -0.3264078668402115]"
"[39.542272877980295, -0.39434672838779017]","[39.42056638937468, -0.3926177239081856]"
"[39.44324409028434, -0.3297992781768407]","[39.527408418748934, -0.4649085488318755]"
"[39.52955076184904, -0.38619962335514874]","[39.39868047246373, -0.4015309084072121]"
"[39.431284914290465, -0.4771996974786686]","[39.53628879364195, -0.3558784889546412]"
"[39.53246297306236, -0.35642978904413064]","[39.403677671007486, -0.40289797594253496]"
"[39.51614999650855, -0.4635452705350457]","[39.398264167566616, -0.3971240158088995]"
"[39.39486950058906, -0.4090277365563346]","[39.51666000893599, -0.3852646300141212]"
"[39.54259630618323, -0.3972424868265073]","[39.39878589321014, -0.40068709614696385]"
"[39.53067741742397, -0.34602528893601137]","[39.40471367773695, -0.4016108439984623]"
"[39.421851204487275, -0.39201351398703316]","[39.54505955881226, -0.3981004197074211]"
"[39.42333896874085, -0.4219118056201243]","[39.546543036974725, -0.39448961612666694]"
"[39.52660857944947, -0.353319219198111]","[39.436360587826336, -0.4747341182270032]"
"[39.52439796914469, -0.3547178797767479]","[39.40218418240248, -0.4033568155122907]"
"[39.43712050330519, -0.46117345968214585]","[39.52962429859181, -0.35513870605249537]"
"[39.54302027797666, -0.40524881241806215]","[39.406360958551204, -0.4070618833126017]"
"[39.42417028106229, -0.38782675956032076]","[39.546157148751874, -0.39278299045722537]"
"[39.52597554966445, -0.3430309635879496]","[39.43449747007856, -0.46662186909892767]"
"[39.52970843576125, -0.34684085337276566]","[39.43587088944737, -0.4701458550895887]"
"[39.40662480948336, -0.40478644642003825]","[39.52070863421264, -0.3528601167822945]"
"[39.54326752038719, -0.4013651780655947]","[39.401263634533315, -0.40272463590476726]"
"[39.42670802740566, -0.4194931650570817]","[39.5517023772746, -0.39394431688251935]"
"[39.399240740206544, -0.40122126517661105]","[39.549246456713824, -0.3933452214261512]"
"[39.40767080505502, -0.4006112165919905]","[39.52370821213322, -0.3503093623379937]"
"[39.52907069435053, -0.3559209505868975]","[39.40414523841486, -0.39757358153734546]"
"[39.52100617391903, -0.4644969666149888]","[39.45159692666781, -0.3357932547651507]"
"[39.52689965762625, -0.35130804165786145]","[39.40662480948336, -0.40478644642003825]"
"[39.543167702825365, -0.3932065556140217]","[39.436360587826336, -0.4747341182270032]"
"[39.40718190607405, -0.4019132380903986]","[39.53147891115288, -0.3546070926893744]"
"[39.40060972114896, -0.40053121246402557]","[39.55027423345744, -0.39533168668226815]"
"[39.40320961206286, -0.39447511716937844]","[39.52961695955305, -0.3465806118726396]"
"[39.525521909421634, -0.3523041025723314]","[39.4363075261176, -0.4692473703558487]"
"[39.40342526561843, -0.4036847422445982]","[39.51699028301163, -0.4630721437324131]"
"[39.431618983838085, -0.46858519268496135]","[39.53147891115288, -0.3546070926893744]"
"[39.54641885846181, -0.3944601992732235]","[39.402657090313916, -0.391010232042067]"
"[39.527213993659814, -0.4172712253386941]","[39.396500443920964, -0.4006288298772595]"
"[39.52771265286643, -0.34241117898122914]","[39.43590655014353, -0.4712043241372586]"
"[39.51999596163875, -0.340187077127603]","[39.40140843734119, -0.405155049348559]"
"[39.417720151610204, -0.394268319329914]","[39.54489063450191, -0.40125538670750127]"
"[39.54641885846181, -0.3944601992732235]","[39.401263634533315, -0.40272463590476726]"
"[39.42670802740566, -0.4194931650570817]","[39.532158904563715, -0.34030331428949606]"
"[39.549037662824716, -0.398279770441734]","[39.432115746797756, -0.4691338246330556]"
"[39.553930090770606, -0.39973813226536004]","[39.4277223929161, -0.4254056373799783]"
"[39.411005335981336, -0.39751742268067375]","[39.526896381664855, -0.3438781734719812]"
"[39.406360958551204, -0.4070618833126017]","[39.519715098651744, -0.3533028999716242]"
"[39.53760027857757, -0.35662344267285395]","[39.440743224304526, -0.4728540118691351]"
"[39.44962339842392, -0.33412492671981087]","[39.51878173242929, -0.4659674727099253]"
"[39.42769118653595, -0.47025047285498384]","[39.543301213774214, -0.38911921590793797]"
"[39.527213993659814, -0.4172712253386941]","[39.398264167566616, -0.3971240158088995]"
"[39.442981076441036, -0.47536673073559776]","[39.55099714553373, -0.39237705738338685]"
"[39.5238608136984, -0.382742121519541]","[39.403151854540496, -0.404075420042824]"
"[39.4043379881495, -0.4123345922313536]","[39.54460051715165, -0.3973219379026097]"
"[39.53359386874004, -0.3824534533606579]","[39.39986011794258, -0.3987493085356811]"
"[39.51451256650039, -0.47618310053901736]","[39.40218418240248, -0.4033568155122907]"
"[39.54750866336105, -0.394716967544779]","[39.4282805367573, -0.4718480947944809]"
"[39.437725010424856, -0.4660157434469571]","[39.53104444351681, -0.35182588328801817]"
"[39.51623381638072, -0.4683140131289773]","[39.40212464660424, -0.40698680227185263]"
"[39.533179468521745, -0.356714361630021]","[39.438302680253756, -0.47020126677122087]"
"[39.42922369923734, -0.47747221627742326]","[39.547281574091386, -0.39506047200760114]"
"[39.51711005134813, -0.36513622457812805]","[39.39939736595497, -0.40080678481972004]"
"[39.54283349143927, -0.39901037868045125]","[39.4044556853017, -0.40181834397904376]"
"[39.52426957523215, -0.3830156350135316]","[39.403677671007486, -0.40289797594253496]"
"[39.53126677979134, -0.3530027136714497]","[39.43415871227312, -0.4700990081200287]"
"[39.4363075261176, -0.4692473703558487]","[39.54505955881226, -0.3981004197074211]"
"[39.528514365341394, -0.3847411907144211]","[39.401263634533315, -0.40272463590476726]"
"[39.405477835821145, -0.40485813981888097]","[39.54471561891034, -0.39835239514390286]"
"[39.42481549988382, -0.4185919708883066]","[39.547281574091386, -0.39506047200760114]"
"[39.520018556036455, -0.41942176749667903]","[39.40060972114896, -0.40053121246402557]"
"[39.44119007590604, -0.46656634226506694]","[39.52761309401589, -0.352657390807691]"
"[39.431284914290465, -0.4771996974786686]","[39.52689965762625, -0.35130804165786145]"
"[39.531932548435044, -0.38412834475747015]","[39.39547356708542, -0.39725117203010546]"
"[39.40236925267727, -0.40034025292489867]","[39.53090645507136, -0.35245559596912]"
"[39.54257019661765, -0.3968386820809661]","[39.399460962918106, -0.40641561157875034]"
"[39.425996482605726, -0.4262509846195634]","[39.55746414566028, -0.40140952057024337]"
"[39.5441935849698, -0.3959282057174765]","[39.39863098323907, -0.39815601425468466]"
"[39.42670468295007, -0.4193903256003826]","[39.54531312548228, -0.3918513015486752]"
"[39.525634469751814, -0.3490310512201316]","[39.3979229690769, -0.40666353961869384]"
"[39.436627572922134, -0.4674246988272207]","[39.53118287360636, -0.3485815360947845]"
"[39.40040390171685, -0.4035653388540452]","[39.5401271481849, -0.39994629093878803]"
"[39.543648632648036, -0.39756039107291097]","[39.401263634533315, -0.40272463590476726]"
"[39.395897844997684, -0.39982226106287605]","[39.52533698416368, -0.38144617717705737]"
"[39.400321564470154, -0.4110027778282725]","[39.543301213774214, -0.38911921590793797]"
"[39.54515572204451, -0.3896018829988403]","[39.42275144662803, -0.3961117933061668]"
"[39.530280316622296, -0.3844688798669076]","[39.405144619121806, -0.4000749050338977]"
"[39.521178730639036, -0.4691900204096147]","[39.44708024050772, -0.33389895101822736]"
"[39.449493777666525, -0.33231774930648283]","[39.52591129642573, -0.4621581271411613]"
"[39.40718190607405, -0.4019132380903986]","[39.52641669809946, -0.35297043762060726]"
"[39.42894555049979, -0.429242652765526]","[39.54913087557153, -0.3914815355177425]"
"[39.400321564470154, -0.4110027778282725]","[39.52100162203842, -0.4675547098964698]"
"[39.39597612402351, -0.40626034020532653]","[39.51660317417696, -0.4651865424396995]"
"[39.51999596163875, -0.340187077127603]","[39.43692972222276, -0.46542535673212554]"
"[39.52463781134494, -0.38741819788809484]","[39.39540660018187, -0.39392877421608014]"
"[39.522962461033465, -0.3924667042293062]","[39.40290943194442, -0.40502345615098523]"
"[39.424100741572396, -0.38436088193603135]","[39.55099714553373, -0.39237705738338685]"
"[39.55196142426833, -0.3930455863699091]","[39.43287610799104, -0.46575230493332875]"
"[39.547281574091386, -0.39506047200760114]","[39.437725010424856, -0.4660157434469571]"
"[39.546157148751874, -0.39278299045722537]","[39.39878589321014, -0.40068709614696385]"
"[39.41815036557097, -0.39513492604880457]","[39.551063958023086, -0.3957120664116806]"
"[39.4059887219061, -0.4060320725565165]","[39.53681295082609, -0.34529173468790375]"
"[39.534571174885485, -0.34954993391084216]","[39.40253307400566, -0.3970027485744539]"
"[39.40107775161937, -0.39681620103700954]","[39.53126677979134, -0.3530027136714497]"
"[39.54773417454856, -0.39687111738527414]","[39.43498192268241, -0.4787377584840876]"
"[39.51941528002785, -0.3809023626959284]","[39.39597612402351, -0.40626034020532653]"
"[39.44762181296855, -0.33799553615772193]","[39.52049894353239, -0.4614882767816685]"
"[39.45097267938146, -0.3415161155808974]","[39.527408418748934, -0.4649085488318755]"
"[39.52962429859181, -0.35513870605249537]","[39.399460962918106, -0.40641561157875034]"
"[39.53833178318189, -0.3853166812781537]","[39.400420466948844, -0.40232756927091806]"
"[39.436515218795094, -0.467651452661408]","[39.54691400247709, -0.403706016128022]"
"[39.52987195513995, -0.38020101480943747]","[39.4289006755338, -0.4686255999196735]"
"[39.534597081749254, -0.40395422517257357]","[39.40253307400566, -0.3970027485744539]"
"[39.40531638527994, -0.4019197013276876]","[39.54019014739548, -0.4004947834365392]"
"[39.52811938301254, -0.3545427399378661]","[39.43918632654782, -0.4791982228293939]"
"[39.51758397115561, -0.4127149064058631]","[39.39796428624887, -0.398125634665853]"
"[39.543667772454995, -0.38995003922675386]","[39.422026654913594, -0.38983179628764053]"
"[39.43552688260674, -0.4643486981564347]","[39.525634469751814, -0.3490310512201316]"
"[39.52100162203842, -0.4675547098964698]","[39.45424447453952, -0.3317366794779134]"
"[39.410081569129204, -0.4011926035056124]","[39.54824507404544, -0.3977003519844683]"
"[39.417018750259494, -0.398507119263242]","[39.55746414566028, -0.40140952057024337]"
"[39.39533056170972, -0.39576036027534084]","[39.520098002107154, -0.38386619295459556]"
"[39.41819921016974, -0.3961731530098923]","[39.53295693595691, -0.3486782038533845]"
"[39.40160105738219, -0.40735626531972485]","[39.513890436718164, -0.46603629905805183]"
"[39.40140843734119, -0.405155049348559]","[39.51879824385062, -0.4626936288730346]"
"[39.51874927380421, -0.34111312080169287]","[39.399885219072665, -0.39678627038024467]"
"[39.515912548940925, -0.46010044807124145]","[39.3979229690769, -0.40666353961869384]"
"[39.5145031109993, -0.42386734053675373]","[39.39540660018187, -0.39392877421608014]"
"[39.520181002847195, -0.3913629765304514]","[39.399444498956335, -0.39754856354449997]"
"[39.51262655058165, -0.3554138360183962]","[39.4289006755338, -0.4686255999196735]"
"[39.40553985243058, -0.407855673540257]","[39.526273111013516, -0.3472271100707338]"
"[39.54836237846892, -0.3946552084124562]","[39.434375509882976, -0.4651391311247572]"
"[39.43189307986651, -0.4683532399838482]","[39.54913087557153, -0.3914815355177425]"
"[39.543667772454995, -0.38995003922675386]","[39.404390940213624, -0.3986020768113077]"
"[39.52099261332988, -0.3826935499109691]","[39.399460962918106, -0.40641561157875034]"
"[39.52962429859181, -0.35513870605249537]","[39.40455602856859, -0.4011873949178396]"
"[39.54495241593656, -0.399275569671597]","[39.396500443920964, -0.4006288298772595]"
"[39.43663708510587, -0.47425793922994597]","[39.54355574582898, -0.39539546968864797]"
"[39.43253667771187, -0.46033292806525195]","[39.5238835408454, -0.3537625362807902]"
"[39.462011378748294, -0.32696144317958686]","[39.51588169002356, -0.468672449139379]"
"[39.427218586135545, -0.4289770339288788]","[39.532158904563715, -0.34030331428949606]"
"[39.54836237846892, -0.3946552084124562]","[39.42718966264966, -0.3963678466145805]"
"[39.52960034198099, -0.3498911359073977]","[39.44015389095492, -0.47290432176099895]"
"[39.536800098935224, -0.3522692808404349]","[39.42878990603982, -0.4241211409536243]"
"[39.52439796914469, -0.3547178797767479]","[39.43696949561621, -0.465312916486308]"
"[39.52362310060864, -0.3488167276343979]","[39.436360587826336, -0.4747341182270032]"
"[39.526408277495776, -0.3835257786170865]","[39.39753695230372, -0.39889817894891205]"
"[39.54257019661765, -0.3968386820809661]","[39.434083775311215, -0.4648399792101332]"
"[39.52362310060864, -0.3488167276343979]","[39.43253667771187, -0.46033292806525195]"
"[39.40722535334108, -0.40242979845090276]","[39.54349326425908, -0.4008743455447512]"
"[39.54236470414093, -0.40288883689884847]","[39.42178644141901, -0.39171783543557714]"
"[39.54773417454856, -0.39687111738527414]","[39.39868047246373, -0.4015309084072121]"
"[39.53067741742397, -0.34602528893601137]","[39.43329751007839, -0.4670384400425865]"
"[39.52789848876493, -0.3560634872261434]","[39.44119007590604, -0.46656634226506694]"
"[39.51812389313061, -0.469895314920064]","[39.400824451271475, -0.3992380558771404]"
"[39.54355574582898, -0.39539546968864797]","[39.42551795167126, -0.42716551774525136]"
"[39.42178644141901, -0.39171783543557714]","[39.547281574091386, -0.39506047200760114]"
"[39.548129058723056, -0.3996528960850416]","[39.43493882109987, -0.4715714049487579]"
"[39.536227291852754, -0.4041139363055994]","[39.39863098323907, -0.39815601425468466]"
"[39.51623829351042, -0.4703181862479195]","[39.463136308957324, -0.33106228292094675]"
"[39.40249143566821, -0.39937790569950965]","[39.520890824303244, -0.4586199337981806]"
"[39.547281574091386, -0.39506047200760114]","[39.42279961783144, -0.43240754670956266]"
"[39.51597944801847, -0.45437970757217905]","[39.394314640129515, -0.4062900486490244]"
"[39.533179468521745, -0.356714361630021]","[39.42685757225399, -0.4577033288941295]"
"[39.51762712429841, -0.46881839719781887]","[39.40342526561843, -0.4036847422445982]"
"[39.40419064645798, -0.4072015680247323]","[39.52088028479691, -0.46712372368632493]"
"[39.533350136176765, -0.34241733858432877]","[39.42460878045351, -0.42592875896302146]"
"[39.52088028479691, -0.46712372368632493]","[39.403677671007486, -0.40289797594253496]"
"[39.54283349143927, -0.39901037868045125]","[39.407967671625975, -0.4010412793763549]"
"[39.546543036974725, -0.39448961612666694]","[39.41921962582327, -0.3934771993757876]"
"[39.54257019661765, -0.3968386820809661]","[39.43034892100758, -0.48138478574295895]"
"[39.44922700827402, -0.3335898255721378]","[39.51493586092905, -0.4661140590464231]"
"[39.54489063450191, -0.40125538670750127]","[39.4340235455306, -0.46516576182591896]"
"[39.53278899517425, -0.34680496640454417]","[39.40531638527994, -0.4019197013276876]"
"[39.438302680253756, -0.47020126677122087]","[39.51999596163875, -0.340187077127603]"
"[39.39880153954059, -0.413397507971333]","[39.51355267665458, -0.36063273633034826]"
"[39.51350611867057, -0.46819581214941497]","[39.403151854540496, -0.404075420042824]"
"[39.410081569129204, -0.4011926035056124]","[39.530280316622296, -0.3844688798669076]"
"[39.522962461033465, -0.3924667042293062]","[39.400824451271475, -0.3992380558771404]"
"[39.420120843051244, -0.3857639236475197]","[39.54627492708467, -0.39346363455654965]"
"[39.52439796914469, -0.3547178797767479]","[39.438302680253756, -0.47020126677122087]"
"[39.54355574582898, -0.39539546968864797]","[39.402657090313916, -0.391010232042067]"
"[39.517388017124595, -0.46825392650765757]","[39.40248083315647, -0.3957414717917019]"
"[39.54268572175751, -0.400079706881878]","[39.3979229690769, -0.40666353961869384]"
"[39.543317314653116, -0.3969429496159682]","[39.43554138957863, -0.4657423065972868]"
"[39.426696700463644, -0.47164677946987665]","[39.526670626741826, -0.35409754587553777]"
"[39.403151854540496, -0.404075420042824]","[39.52960034198099, -0.3498911359073977]"
"[39.54627492708467, -0.39346363455654965]","[39.42723585335731, -0.4226363699771363]"
"[39.54913087557153, -0.3914815355177425]","[39.431618983838085, -0.46858519268496135]"
"[39.52635833538982, -0.3538849340178686]","[39.4289006755338, -0.4686255999196735]"
"[39.52292990476331, -0.459063940465615]","[39.399870527138155, -0.40666825153380054]"
"[39.43853230864654, -0.462356287663787]","[39.52902519941773, -0.3469581164249048]"
"[39.39953880578661, -0.40146428191343697]","[39.54824507404544, -0.3977003519844683]"
"[39.51489921188568, -0.46344601747491676]","[39.44708024050772, -0.33389895101822736]"
"[39.43732045258265, -0.47261183344317464]","[39.54257019661765, -0.3968386820809661]"
"[39.52392260328925, -0.38979959175600104]","[39.40040390171685, -0.4035653388540452]"
"[39.53542876633856, -0.3920810360029342]","[39.40419064645798, -0.4072015680247323]"
"[39.43344701716507, -0.4706503356838954]","[39.526896381664855, -0.3438781734719812]"
"[39.5238835408454, -0.3537625362807902]","[39.43712050330519, -0.46117345968214585]"
"[39.421851204487275, -0.39201351398703316]","[39.54515572204451, -0.3896018829988403]"
"[39.404041046421774, -0.40787143755884325]","[39.52100617391903, -0.4644969666149888]"
"[39.542272877980295, -0.39434672838779017]","[39.43064631186484, -0.47297222363635044]"
"[39.42813528184649, -0.4772670877640448]","[39.53257258877801, -0.3549837946988927]"
"[39.51921046026779, -0.4217263061279859]","[39.40084882448056, -0.39377651264365887]"
"[39.52739665082459, -0.3895422574110892]","[39.40084882448056, -0.39377651264365887]"
"[39.40107775161937, -0.39681620103700954]","[39.51567607451769, -0.458875116963591]"
"[39.42073316083538, -0.39822949069005414]","[39.54315492965823, -0.39528303320100394]"
"[39.422507022613686, -0.39579759295938727]","[39.54836237846892, -0.3946552084124562]"
"[39.53257258877801, -0.3549837946988927]","[39.43495809618032, -0.47089970954610333]"
"[39.5418585059942, -0.3977141759375267]","[39.398568676264254, -0.39914261408134194]"
"[39.41549720491549, -0.3809447893908748]","[39.54505955881226, -0.3981004197074211]"
"[39.41675257441788, -0.393342564476371]","[39.532158904563715, -0.34030331428949606]"
"[39.406139097460674, -0.41237320358561264]","[39.52955076184904, -0.38619962335514874]"
"[39.547446498321264, -0.39763071199641037]","[39.432229259469956, -0.46661130707332316]"
"[39.52750186579703, -0.3479470090045223]","[39.43154086749556, -0.4769828439502539]"
"[39.43178290390093, -0.4761134353912832]","[39.528546750309424, -0.3450633789999961]"
"[39.4340235455306, -0.46516576182591896]","[39.52597554966445, -0.3430309635879496]"
"[39.54190421012771, -0.38780011585165153]","[39.3979229690769, -0.40666353961869384]"
"[39.405144619121806, -0.4000749050338977]","[39.51762712429841, -0.46881839719781887]"
"[39.520509048434334, -0.4622532063452486]","[39.40662480948336, -0.40478644642003825]"
"[39.53126677979134, -0.3530027136714497]","[39.43827779121957, -0.4709801289577436]"
"[39.43349146694814, -0.46990883350784396]","[39.52745058716763, -0.352320888067887]"
"[39.519138244649135, -0.41907390368230873]","[39.39880153954059, -0.413397507971333]"
"[39.43663708510587, -0.47425793922994597]","[39.540235592879256, -0.39238185507436407]"
"[39.426726212636346, -0.40210976246354313]","[39.547446498321264, -0.39763071199641037]"
"[39.55429015975586, -0.40144970301834493]","[39.41780654357451, -0.3913932247292057]"
"[39.402657090313916, -0.391010232042067]","[39.518665374283444, -0.4637704766011262]"
"[39.545011323443056, -0.38902930331019947]","[39.4340235455306, -0.46516576182591896]"
"[39.51717786297128, -0.4711776890038121]","[39.40560730873259, -0.4026546709675813]"
"[39.420413931834794, -0.3962506892380156]","[39.54103781943176, -0.3990208252909187]"
"[39.531147462885144, -0.3478850281633355]","[39.40212464660424, -0.40698680227185263]"
"[39.546896638610725, -0.397073038238627]","[39.427218586135545, -0.4289770339288788]"
"[39.40342526561843, -0.4036847422445982]","[39.54890043763588, -0.39820783897955153]"
"[39.45272417762394, -0.33052891950157726]","[39.505824731445074, -0.4754167875658671]"
"[39.39863098323907, -0.39815601425468466]","[39.521178730639036, -0.4691900204096147]"
"[39.51912155446437, -0.38533974801422555]","[39.39863098323907, -0.39815601425468466]"
"[39.532864418286046, -0.3862823865428556]","[39.39547356708542, -0.39725117203010546]"
"[39.43385280633983, -0.4717236495115586]","[39.52962429859181, -0.35513870605249537]"
"[39.403017643132344, -0.4101991398770435]","[39.52907069435053, -0.3559209505868975]"
"[39.54656824948217, -0.3964062368155321]","[39.405144619121806, -0.4000749050338977]"
"[39.44880999586969, -0.3325553517739706]","[39.51999039571137, -0.46890746981704634]"
"[39.536227291852754, -0.4041139363055994]","[39.40212464660424, -0.40698680227185263]"
"[39.42597679773628, -0.3981607501586847]","[39.547281574091386, -0.39506047200760114]"
"[39.397606529485465, -0.3969846860744717]","[39.52152659918619, -0.38482176020320374]"
"[39.43253667771187, -0.46033292806525195]","[39.52048710093618, -0.3433793896700873]"
"[39.432229259469956, -0.46661130707332316]","[39.51784248543565, -0.3500846610356777]"
"[39.52962429859181, -0.35513870605249537]","[39.399870527138155, -0.40666825153380054]"
"[39.52600033225322, -0.3453700836920338]","[39.40290943194442, -0.40502345615098523]"
"[39.51192990904663, -0.3480693254712211]","[39.42813528184649, -0.4772670877640448]"
"[39.53067741742397, -0.34602528893601137]","[39.42328576299594, -0.4281407497488284]"
"[39.4428099818711, -0.3309904249815451]","[39.51076041169734, -0.4708982094286424]"
"[39.52600033225322, -0.3453700836920338]","[39.40471367773695, -0.4016108439984623]"
"[39.432521514775054, -0.47491878438567964]","[39.54684965838798, -0.3998484681596978]"
"[39.51623324251016, -0.3643863643340359]","[39.43410340333957, -0.478409289053137]"
"[39.399870527138155, -0.40666825153380054]","[39.51912155446437, -0.38533974801422555]"
"[39.39460500414015, -0.4054884815638184]","[39.54910683111174, -0.39265537846292453]"
"[39.43528014267745, -0.46695333650252974]","[39.532169746917106, -0.3533941884762618]"
"[39.44962339842392, -0.33412492671981087]","[39.51623829351042, -0.4703181862479195]"
"[39.40244610750699, -0.4065950884143955]","[39.54515572204451, -0.3896018829988403]"
"[39.51815019249742, -0.4623965561343819]","[39.44990097910292, -0.3327278341010168]"
"[39.52008755012274, -0.3930209301570191]","[39.399077744392315, -0.4072002565943866]"
"[39.39873938327394, -0.39462762485408726]","[39.5266957894957, -0.37628000863500904]"
"[39.533350136176765, -0.34241733858432877]","[39.4519338628508, -0.4565201901711276]"
"[39.51192990904663, -0.3480693254712211]","[39.39597612402351, -0.40626034020532653]"
"[39.430048874737885, -0.4251065945748095]","[39.55027423345744, -0.39533168668226815]"
"[39.402800912544706, -0.40299962284936386]","[39.53394705998222, -0.3621741126395452]"
"[39.44275535436183, -0.33614333426873866]","[39.51853175731094, -0.4582225083936207]"
"[39.51762712429841, -0.46881839719781887]","[39.451163361410906, -0.3356815245755006]"
"[39.39953880578661, -0.40146428191343697]","[39.521431137844516, -0.41161873892954465]"
"[39.52226346569409, -0.4140007189485266]","[39.40042737938735, -0.39467236529378147]"
"[39.54582650649189, -0.3933965803087139]","[39.40218418240248, -0.4033568155122907]"
"[39.532864418286046, -0.3862823865428556]","[39.399885219072665, -0.39678627038024467]"
"[39.520509048434334, -0.4622532063452486]","[39.40662480948336, -0.40478644642003825]"
"[39.54595694083642, -0.39823353283450125]","[39.40957299779509, -0.4030496844188387]"
"[39.51913699440438, -0.4149545072729637]","[39.39755168220085, -0.407190382856656]"
"[39.5401271481849, -0.39994629093878803]","[39.41879784614459, -0.39368127166650474]"
"[39.43349146694814, -0.46990883350784396]","[39.522645383201144, -0.34955365273514655]"
"[39.533179468521745, -0.356714361630021]","[39.44193633973268, -0.46126211787942617]"
"[39.44217756160574, -0.32264748781482]","[39.505824731445074, -0.4754167875658671]"
"[39.549246456713824, -0.3933452214261512]","[39.433316381901925, -0.46953528132260997]"
"[39.50148281164132, -0.3480673664356471]","[39.42813528184649, -0.4772670877640448]"
"[39.40553985243058, -0.407855673540257]","[39.52426957523215, -0.3830156350135316]"
"[39.39486950058906, -0.4090277365563346]","[39.52527406994326, -0.38297356022325985]"
"[39.54595694083642, -0.39823353283450125]","[39.434508224802144, -0.4752898986559559]"
"[39.55099714553373, -0.39237705738338685]","[39.42542064219842, -0.42994578823825025]"
"[39.437571116401514, -0.47371230834810685]","[39.53394705998222, -0.3621741126395452]"
"[39.538572582300986, -0.39185798928753557]","[39.399077744392315, -0.4072002565943866]"
"[39.546896638610725, -0.397073038238627]","[39.42275144662803, -0.3961117933061668]"
"[39.40253307400566, -0.3970027485744539]","[39.53104444351681, -0.35182588328801817]"
"[39.53760027857757, -0.35662344267285395]","[39.4247325382784, -0.42223923619887954]"
"[39.54531312548228, -0.3918513015486752]","[39.41325411465148, -0.3922910164856192]"
"[39.40553985243058, -0.407855673540257]","[39.53156811319583, -0.3543039532493277]"
"[39.39977048809533, -0.406575148478769]","[39.54627492708467, -0.39346363455654965]"
"[39.42233428680058, -0.3947751595296696]","[39.55196142426833, -0.3930455863699091]"
"[39.551063958023086, -0.3957120664116806]","[39.414625710853905, -0.39298336643759485]"
"[39.43157024946931, -0.46768966732994893]","[39.519242313804305, -0.35920299922745863]"
"[39.40662480948336, -0.40478644642003825]","[39.517453639874304, -0.46794131381637627]"
"[39.399444498956335, -0.39754856354449997]","[39.541569892544636, -0.39512287977288574]"
"[39.42018061161157, -0.42813995906980445]","[39.53278899517425, -0.34680496640454417]"
"[39.51762712429841, -0.46881839719781887]","[39.44783641605351, -0.33537123359793675]"
"[39.512655898211555, -0.4646905043192273]","[39.40218418240248, -0.4033568155122907]"
"[39.39486950058906, -0.4090277365563346]","[39.53362640982559, -0.3801289787796728]"
"[39.44133021186918, -0.46614917217254237]","[39.5294977727314, -0.35122198676932465]"
"[39.531932548435044, -0.38412834475747015]","[39.411005335981336, -0.39751742268067375]"
"[39.433989278148275, -0.46997825813651894]","[39.5238835408454, -0.3537625362807902]"
"[39.44980842544018, -0.3304397147428729]","[39.52056922979915, -0.46727801344150566]"
"[39.54824507404544, -0.3977003519844683]","[39.43076406597057, -0.4749425326921693]"
"[39.5517023772746, -0.39394431688251935]","[39.444777957195726, -0.46952053540700717]"
"[39.43827779121957, -0.4709801289577436]","[39.55429015975586, -0.40144970301834493]"
"[39.428390650756626, -0.4183006765128716]","[39.54750866336105, -0.394716967544779]"
"[39.42813528184649, -0.4772670877640448]","[39.49415457467096, -0.34736667065638854]"
